Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.9007,0.3699,0.7466,0.4045,0.0777,0.8495,0.1266,0.5209,0.3777,0.1445,0.3392,0.4020,0.8914,0.5321
18-29,0.1928,0.4936,-0.0803,0.8290,-0.2087,0.5033,0.2049,0.3533,0.2305,0.1043,0.3488,0.1366,0.3349,0.4408
30-39,0.0534,0.7255,0.0065,0.9793,0.2234,0.4922,0.1750,0.2254,0.3035,0.0759,0.5190,0.0391,0.4441,0.0034
40-49,-0.0213,0.7477,0.1184,0.2721,0.2757,0.1192,0.0254,0.7976,0.0180,0.8238,0.1950,0.0681,0.1044,0.2943
50-64,-0.0373,0.5410,-0.0533,0.3467,-0.0093,0.9156,-0.0296,0.6580,0.0163,0.8483,0.0066,0.9231,0.1288,0.6121
65-74,-0.0564,0.3617,-0.0540,0.2966,-0.0264,0.7734,0.0383,0.5989,-0.0585,0.4683,0.0500,0.4978,0.1221,0.4656
75-84,-0.0953,0.0778,-0.0033,0.9540,0.1620,0.0625,0.0836,0.2608,-0.0141,0.8803,0.1229,0.1262,-0.0113,0.8796
85-plus,-0.0585,0.3565,0.1092,0.2712,0.3401,0.0002,0.1292,0.0948,0.0150,0.8641,0.0521,0.5498,-0.0327,0.6666
