Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,0.1952,NaN,NaN,NaN,0.1619,NaN,-0.3919,NaN,2.6839,NaN
30-39,NaN,NaN,-0.7593,NaN,0.1854,0.5819,0.3526,0.3978,-0.3042,NaN,0.1648,0.5947,-0.8044,0.5325
40-49,NaN,NaN,0.3433,0.3001,0.1953,0.5047,0.0877,0.7453,-0.1172,0.7950,-0.3131,0.3840,-0.3996,0.1280
50-64,NaN,NaN,-0.0074,0.9804,0.3011,0.1242,0.2516,0.1462,0.1644,0.4928,-0.1653,0.3246,-0.0566,0.6707
65-74,NaN,NaN,-0.1001,0.6625,0.2245,0.2138,0.0065,0.9669,-0.0141,0.9409,-0.1097,0.4032,-0.0970,0.4458
75-84,NaN,NaN,0.2370,0.1875,0.1224,0.4508,0.1228,0.5475,0.1126,0.6206,-0.1228,0.3513,-0.0288,0.7841
85-plus,NaN,NaN,0.4776,0.0432,0.1686,0.2586,0.1265,0.3528,0.1069,0.5761,0.0751,0.4697,0.2905,0.0291
