Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.2106,0.2107,-0.0406,0.8373,-0.1126,0.7195,0.0544,0.7424,0.1591,0.2499,0.3173,0.0352,0.9076,0.0395
18-29,-0.0348,0.8373,-0.0800,0.7341,0.0315,0.8373,0.2384,0.0395,0.1686,0.0544,0.4255,0.0125,0.4619,0.2499
30-39,0.0527,0.7610,0.0600,0.7892,0.0837,0.6880,0.1202,0.2499,0.1264,0.1352,0.3118,0.0663,0.4279,0.0033
40-49,-0.0210,0.8373,0.0862,0.5364,0.1768,0.1762,-0.0265,0.8373,0.0101,0.9197,0.2529,0.0125,0.3327,0.0015
50-64,-0.0448,0.7233,-0.0606,0.5470,-0.0399,0.7944,-0.0491,0.7195,0.0053,0.9512,0.0222,0.8373,0.1546,0.2499
65-74,-0.0662,0.5580,-0.0385,0.7233,-0.0539,0.7563,0.0243,0.8373,-0.0602,0.6769,0.0267,0.8373,0.0816,0.6769
75-84,-0.0797,0.2499,0.0242,0.8329,0.1742,0.1416,0.0665,0.6528,-0.0287,0.8373,0.0842,0.7563,-0.0230,0.8373
85-plus,-0.1062,0.1234,0.1661,0.1241,0.2883,0.0104,0.1146,0.2499,-0.0115,0.9061,0.0048,0.9710,-0.0559,0.7563
