Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.9007,0.8321,0.7466,0.8321,0.0777,0.9480,0.1266,0.8321,0.3777,0.6223,0.3392,0.8321,0.8914,0.8321
18-29,0.1928,0.8321,-0.0803,0.9480,-0.2087,0.8321,0.2049,0.8321,0.2305,0.6223,0.3488,0.6223,0.3349,0.8321
30-39,0.0534,0.9480,0.0065,0.9793,0.2234,0.8321,0.1750,0.8321,0.3035,0.6222,0.5190,0.6222,0.4441,0.0940
40-49,-0.0213,0.9480,0.1184,0.8321,0.2757,0.6223,0.0254,0.9480,0.0180,0.9480,0.1950,0.6222,0.1044,0.8321
50-64,-0.0373,0.8321,-0.0533,0.8321,-0.0093,0.9573,-0.0296,0.9104,0.0163,0.9480,0.0066,0.9573,0.1288,0.8789
65-74,-0.0564,0.8321,-0.0540,0.8321,-0.0264,0.9480,0.0383,0.8789,-0.0585,0.8321,0.0500,0.8321,0.1221,0.8321
75-84,-0.0953,0.6222,-0.0033,0.9713,0.1620,0.6222,0.0836,0.8321,-0.0141,0.9480,0.1229,0.6223,-0.0113,0.9480
85-plus,-0.0585,0.8321,0.1092,0.8321,0.3401,0.0090,0.1292,0.6223,0.0150,0.9480,0.0521,0.8321,-0.0327,0.9104
