Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.2106,0.0602,-0.0406,0.7649,-0.1126,0.3983,0.0544,0.4640,0.1591,0.0874,0.3173,0.0038,0.9076,0.0054
18-29,-0.0348,0.7656,-0.0800,0.4457,0.0315,0.7550,0.2384,0.0056,0.1686,0.0087,0.4255,0.0010,0.4619,0.0867
30-39,0.0527,0.5300,0.0600,0.5637,0.0837,0.3563,0.1202,0.0949,0.1264,0.0314,0.3118,0.0118,0.4279,0.0001
40-49,-0.0210,0.7603,0.0862,0.2203,0.1768,0.0472,-0.0265,0.6859,0.0101,0.8869,0.2529,0.0011,0.3327,0.0000
50-64,-0.0448,0.4134,-0.0606,0.2344,-0.0399,0.5816,-0.0491,0.3868,0.0053,0.9342,0.0222,0.7433,0.1546,0.0951
65-74,-0.0662,0.2491,-0.0385,0.4262,-0.0539,0.4896,0.0243,0.6836,-0.0602,0.3384,0.0267,0.7108,0.0816,0.3365
75-84,-0.0797,0.0909,0.0242,0.6247,0.1742,0.0354,0.0665,0.3031,-0.0287,0.6842,0.0842,0.5132,-0.0230,0.7775
85-plus,-0.1062,0.0242,0.1661,0.0266,0.2883,0.0006,0.1146,0.0982,-0.0115,0.8576,0.0048,0.9710,-0.0559,0.5125
