Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,-0.0426,0.7191,0.0748,0.1092,0.0241,0.7401,0.2023,0.0015,0.5958,0.0052
18-29,NaN,NaN,NaN,NaN,0.1267,0.2328,0.2058,0.0008,0.1296,0.0307,0.1352,0.0847,0.4026,0.0171
30-39,NaN,NaN,NaN,NaN,0.1238,0.2102,0.0733,0.2286,0.0882,0.0596,0.0611,0.3867,0.3501,0.0156
40-49,NaN,NaN,NaN,NaN,0.1259,0.1729,0.0307,0.5915,0.0420,0.4812,0.0811,0.1089,0.2747,0.0265
50-64,NaN,NaN,NaN,NaN,0.1170,0.1339,-0.0078,0.8804,0.0123,0.8019,-0.0079,0.8415,0.2449,0.0819
65-74,NaN,NaN,NaN,NaN,0.1150,0.1781,0.0577,0.2817,-0.0259,0.6030,-0.0035,0.9299,0.2692,0.0284
75-84,NaN,NaN,NaN,NaN,0.6627,0.0000,0.1190,0.0626,-0.0155,0.7746,0.0024,0.9723,0.1649,0.1759
85-plus,NaN,NaN,NaN,NaN,0.7964,0.0000,0.1990,0.0037,-0.0013,0.9808,-0.0347,0.6146,0.0711,0.5261
