Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,0.1636,0.6649,0.0075,0.9555,0.0848,0.5096,0.0640,0.7684,0.9067,0.3020
18-29,NaN,NaN,NaN,NaN,0.0576,0.8872,0.1871,0.2113,0.2005,0.1484,-0.0314,0.8575,0.5360,0.1013
30-39,NaN,NaN,NaN,NaN,0.6080,0.1328,0.1064,0.3325,0.1671,0.2039,0.2762,0.0755,0.5494,0.0178
40-49,NaN,NaN,NaN,NaN,-0.0150,0.9134,-0.0135,0.8674,0.0180,0.7841,-0.0076,0.9019,0.2214,0.1476
50-64,NaN,NaN,NaN,NaN,0.1692,0.0617,0.0080,0.8904,0.0176,0.7939,-0.0003,0.9934,0.2461,0.1074
65-74,NaN,NaN,NaN,NaN,0.2252,0.0241,0.0737,0.2323,-0.0142,0.8212,0.0040,0.9283,0.2327,0.0173
75-84,NaN,NaN,NaN,NaN,0.4369,0.0004,0.1214,0.0838,-0.0002,0.9980,-0.0001,0.9990,0.1960,0.0511
85-plus,NaN,NaN,NaN,NaN,0.8865,0.0000,0.1925,0.0074,0.0314,0.6589,-0.0461,0.3020,0.1549,0.1216
