Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.5709,NaN,-1.2483,NaN
30-39,NaN,NaN,NaN,NaN,0.4247,0.1610,0.5512,0.1591,-0.9128,NaN,0.6960,0.1511,0.3706,0.4790
40-49,NaN,NaN,NaN,NaN,0.7589,0.0008,0.5626,0.0047,0.4001,0.1649,-0.1190,0.6823,0.0684,0.7689
50-64,NaN,NaN,NaN,NaN,0.7476,0.0000,0.7297,0.0000,0.6537,0.0003,0.0180,0.9082,0.2831,0.0223
65-74,NaN,NaN,NaN,NaN,0.8872,0.0000,0.6425,0.0000,0.7235,0.0001,0.1663,0.2402,0.2967,0.0278
75-84,NaN,NaN,NaN,NaN,0.8177,0.0000,0.9125,0.0000,0.8009,0.0000,0.0666,0.6370,0.2746,0.0416
85-plus,NaN,NaN,NaN,NaN,0.8098,0.0000,0.7884,0.0000,0.6720,0.0003,0.1942,0.1743,0.4886,0.0002
