Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.1619,0.7765,0.1229,0.8840,0.0153,0.9609,0.0889,0.5649,0.1655,0.2077,0.1781,0.4400,1.0885,0.1555
18-29,0.3371,0.2410,0.2418,0.4753,-0.0769,0.8776,0.3434,0.0484,0.1614,0.0983,0.1720,0.4183,0.6098,0.1516
30-39,0.2385,0.0403,0.1290,0.6711,0.2911,0.4280,0.1912,0.2136,0.3190,0.0045,0.5077,0.0009,0.5168,0.1312
40-49,0.1362,0.0970,0.0945,0.3116,-0.0772,0.5875,-0.0338,0.6914,0.0282,0.5984,0.0998,0.1581,0.2482,0.1238
50-64,0.1264,0.0983,-0.0442,0.4401,0.0591,0.5302,-0.0223,0.7485,0.0390,0.4562,0.0653,0.1317,0.1032,0.5667
65-74,0.1133,0.1673,-0.0500,0.3438,0.0833,0.4118,0.0415,0.5858,-0.0231,0.6384,0.0473,0.3212,0.1665,0.1364
75-84,0.0494,0.5033,0.0324,0.5690,0.1947,0.0724,0.0692,0.4253,-0.0057,0.9219,0.0915,0.0637,0.1611,0.1436
85-plus,0.1749,0.0015,0.1459,0.0531,0.7872,0.0000,0.2612,0.0115,0.0071,0.9093,0.0879,0.1393,0.1040,0.3665
