Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9441,NaN,-3.4036,NaN
30-39,NaN,NaN,0.8415,NaN,0.4547,0.1404,0.5450,0.1509,-0.4597,NaN,0.6364,0.2091,0.1698,0.7899
40-49,NaN,NaN,1.0717,0.0213,0.7623,0.0007,0.4874,0.0102,0.3494,0.2030,-0.0794,0.7661,-0.0767,0.7636
50-64,NaN,NaN,1.0608,0.0001,0.7814,0.0000,0.8474,0.0000,0.4680,0.0021,-0.0185,0.9007,0.2538,0.0449
65-74,NaN,NaN,0.8623,0.0002,0.8486,0.0000,0.7028,0.0000,0.4200,0.0060,0.1305,0.3162,0.2757,0.0314
75-84,NaN,NaN,1.1025,0.0000,0.8278,0.0000,0.9767,0.0000,0.4385,0.0082,0.0499,0.6943,0.2254,0.0873
85-plus,NaN,NaN,1.1886,0.0000,0.8015,0.0000,0.8098,0.0000,0.4653,0.0031,0.1784,0.1679,0.4820,0.0001
