Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.1184,0.5224,0.0117,0.9533,-0.0317,0.8164,0.0754,0.4593,0.0430,0.7555,0.2486,0.0053,0.7188,0.0137
18-29,0.1242,0.5689,0.0707,0.7555,0.0022,0.9828,0.2449,0.0068,0.1120,0.1162,0.2130,0.1187,0.4731,0.1162
30-39,0.1107,0.5077,0.1181,0.5689,0.0552,0.7555,0.1333,0.2019,0.0943,0.1283,0.1690,0.1698,0.3558,0.1703
40-49,0.1647,0.2588,0.0899,0.4302,0.1034,0.5689,0.0261,0.8090,0.0545,0.5689,0.1229,0.1423,0.2766,0.1703
50-64,0.0719,0.5689,-0.0303,0.7555,0.0345,0.7987,-0.0326,0.7949,0.0264,0.7555,0.0192,0.7987,0.0575,0.8131
65-74,0.0468,0.7555,0.0015,0.9828,0.0254,0.8164,0.0321,0.7987,-0.0298,0.7555,0.0271,0.7555,0.1286,0.6187
75-84,0.0754,0.5077,0.0414,0.6256,0.2584,0.1187,0.0528,0.7555,-0.0203,0.7987,0.0800,0.5689,0.0688,0.7872
85-plus,0.1508,0.0028,0.1821,0.0053,0.6975,0.0000,0.2364,0.0758,-0.0143,0.8164,0.0624,0.7555,-0.0446,0.8090
