Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9441,NaN,-3.4036,NaN
30-39,NaN,NaN,0.8415,NaN,0.4547,0.3277,0.5450,0.3380,-0.4597,NaN,0.6364,0.4182,0.1698,1.3404
40-49,NaN,NaN,1.0717,0.0596,0.7623,0.0029,0.4874,0.0300,0.3494,0.4182,-0.0794,1.3404,-0.0767,1.3404
50-64,NaN,NaN,1.0608,0.0006,0.7814,0.0000,0.8474,0.0000,0.4680,0.0078,-0.0185,1.4834,0.2538,0.1143
65-74,NaN,NaN,0.8623,0.0010,0.8486,0.0000,0.7028,0.0000,0.4200,0.0198,0.1305,0.6106,0.2757,0.0837
75-84,NaN,NaN,1.1025,0.0002,0.8278,0.0000,0.9767,0.0000,0.4385,0.0255,0.0499,1.2960,0.2254,0.2126
85-plus,NaN,NaN,1.1886,0.0000,0.8015,0.0000,0.8098,0.0000,0.4653,0.0108,0.1784,0.3617,0.4820,0.0005
