Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.1184,0.2145,0.0117,0.9192,-0.0317,0.7727,0.0754,0.1640,0.0430,0.4979,0.2486,0.0004,0.7188,0.0015
18-29,0.1242,0.2820,0.0707,0.4607,0.0022,0.9828,0.2449,0.0006,0.1120,0.0179,0.2130,0.0214,0.4731,0.0187
30-39,0.1107,0.1956,0.1181,0.2716,0.0552,0.5532,0.1333,0.0613,0.0943,0.0275,0.1690,0.0424,0.3558,0.0466
40-49,0.1647,0.0832,0.0899,0.1460,0.1034,0.2631,0.0261,0.6951,0.0545,0.2599,0.1229,0.0330,0.2766,0.0487
50-64,0.0719,0.2946,-0.0303,0.5487,0.0345,0.6703,-0.0326,0.6104,0.0264,0.5088,0.0192,0.6669,0.0575,0.7260
65-74,0.0468,0.5296,0.0015,0.9752,0.0254,0.7672,0.0321,0.6280,-0.0298,0.4472,0.0271,0.5518,0.1286,0.3314
75-84,0.0754,0.1995,0.0414,0.3463,0.2584,0.0233,0.0528,0.4973,-0.0203,0.6506,0.0800,0.2925,0.0688,0.5904
85-plus,0.1508,0.0001,0.1821,0.0004,0.6975,0.0000,0.2364,0.0095,-0.0143,0.7658,0.0624,0.4708,-0.0446,0.7079
