Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,-0.0182,0.9161,0.0779,0.2586,0.0797,0.3571,0.2035,0.0020,0.6523,0.0027
18-29,NaN,NaN,NaN,NaN,0.2762,0.0334,0.2309,0.0048,0.1112,0.1070,0.1394,0.0782,0.4118,0.0211
30-39,NaN,NaN,NaN,NaN,0.2542,0.0350,0.0773,0.2778,0.0585,0.2394,0.0708,0.3259,0.3445,0.0206
40-49,NaN,NaN,NaN,NaN,0.3907,0.0005,0.0440,0.5098,0.0039,0.9527,0.0930,0.0536,0.2724,0.0116
50-64,NaN,NaN,NaN,NaN,0.1687,0.0500,0.0257,0.6623,-0.0059,0.9192,-0.0166,0.6446,0.2410,0.1169
65-74,NaN,NaN,NaN,NaN,0.5453,0.0000,0.0811,0.1847,-0.0458,0.4461,0.0087,0.8384,0.2755,0.0498
75-84,NaN,NaN,NaN,NaN,0.7424,0.0000,0.1339,0.0520,-0.0205,0.7472,0.0010,0.9910,0.1874,0.1896
85-plus,NaN,NaN,NaN,NaN,0.7967,0.0000,0.1974,0.0065,-0.0019,0.9761,-0.0400,0.6312,0.1843,0.1942
