Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,0.1982,NaN,NaN,NaN,0.1877,NaN,-0.4611,NaN,-3.2800,NaN
30-39,NaN,NaN,NaN,NaN,0.1484,1.5101,0.3717,1.3744,-0.3696,NaN,-0.3262,1.3137,-0.0164,1.8961
40-49,NaN,NaN,NaN,NaN,0.3377,0.8309,0.3560,0.7695,-0.1037,1.5231,-0.5020,0.2011,-0.1428,1.3023
50-64,NaN,NaN,NaN,NaN,0.3835,0.2488,0.3930,0.0477,0.2621,0.8309,-0.2139,0.4219,0.0573,1.3937
65-74,NaN,NaN,NaN,NaN,0.4773,0.1129,0.2745,0.2488,0.1550,1.3023,-0.0519,1.4320,0.0375,1.5214
75-84,NaN,NaN,NaN,NaN,0.3039,0.3787,0.4799,0.0817,0.4654,0.2488,-0.1803,0.4541,0.0927,0.8309
85-plus,NaN,NaN,NaN,NaN,0.1931,0.8309,0.3877,0.0238,0.3047,0.5652,-0.0306,1.5214,0.3483,0.0238
