Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,0.4847,1.1993,-0.0161,1.3891,0.0574,1.3891,0.1375,1.3891,0.8060,1.1702
18-29,NaN,NaN,NaN,NaN,0.1482,1.3891,0.0474,1.3891,0.1834,0.9781,-0.0154,1.3891,0.3765,0.7462
30-39,NaN,NaN,NaN,NaN,0.6976,0.4182,0.1211,1.1702,0.0986,1.3146,0.2393,0.5909,0.5300,0.2151
40-49,NaN,NaN,NaN,NaN,0.4441,0.2151,0.0099,1.3891,0.0038,1.3891,-0.0004,1.3924,0.2005,0.6094
50-64,NaN,NaN,NaN,NaN,0.2607,0.1366,0.0154,1.3891,-0.0034,1.3891,-0.0151,1.3891,0.2637,0.4560
65-74,NaN,NaN,NaN,NaN,0.5466,0.0004,0.0914,0.7057,-0.0407,1.3891,0.0140,1.3891,0.2335,0.2151
75-84,NaN,NaN,NaN,NaN,0.5419,0.0004,0.1313,0.4182,-0.0108,1.3891,0.0109,1.3891,0.1941,0.4182
85-plus,NaN,NaN,NaN,NaN,0.8996,0.0000,0.1945,0.1366,0.0246,1.3891,-0.0442,1.0768,0.2481,0.2151
