Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,0.1982,NaN,NaN,NaN,0.1877,NaN,-0.4611,NaN,-3.2800,NaN
30-39,NaN,NaN,NaN,NaN,0.1484,0.6742,0.3717,0.5400,-0.3696,NaN,-0.3262,0.4926,-0.0164,0.9819
40-49,NaN,NaN,NaN,NaN,0.3377,0.2606,0.3560,0.1924,-0.1037,0.7615,-0.5020,0.0215,-0.1428,0.4427
50-64,NaN,NaN,NaN,NaN,0.3835,0.0400,0.3930,0.0026,0.2621,0.2393,-0.2139,0.0829,0.0573,0.5724
65-74,NaN,NaN,NaN,NaN,0.4773,0.0101,0.2745,0.0322,0.1550,0.4651,-0.0519,0.6137,0.0375,0.7332
75-84,NaN,NaN,NaN,NaN,0.3039,0.0676,0.4799,0.0058,0.4654,0.0377,-0.1803,0.0973,0.0927,0.2671
85-plus,NaN,NaN,NaN,NaN,0.1931,0.2468,0.3877,0.0007,0.3047,0.1312,-0.0306,0.7335,0.3483,0.0008
