Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.1267,0.8644,-0.1497,0.9007,0.0296,0.9199,0.0676,0.8644,0.2621,0.5271,0.1084,0.8644,1.0518,0.8098
18-29,0.3590,0.5991,0.1577,0.8644,-0.2166,0.8644,0.2372,0.5271,0.2299,0.5271,0.3539,0.5271,0.6223,0.5528
30-39,0.0970,0.8644,-0.0714,0.8644,0.0980,0.8644,0.1542,0.5814,0.3608,0.3999,0.5432,0.4422,0.0385,0.8644
40-49,0.1294,0.5271,0.1166,0.5814,-0.0825,0.8644,-0.0088,0.9199,0.0251,0.8644,0.2171,0.3999,0.1268,0.5271
50-64,0.0979,0.5889,-0.0286,0.8644,-0.0212,0.8644,-0.0235,0.8644,0.0472,0.8644,0.1031,0.5271,0.2057,0.8098
65-74,0.0593,0.8644,-0.0381,0.8644,-0.0353,0.8644,0.0168,0.8644,-0.0290,0.8644,0.0760,0.7129,0.1129,0.8644
75-84,-0.0366,0.8644,0.0133,0.8644,0.1326,0.5271,0.0394,0.8644,0.0070,0.9239,0.1284,0.5271,-0.0190,0.8644
85-plus,0.0344,0.8644,0.1034,0.7129,0.3337,0.0089,0.1098,0.5271,0.0318,0.8644,0.0377,0.8644,-0.0597,0.8061
