Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.1333,0.4068,0.0133,0.9575,-0.0485,0.7679,0.0576,0.4685,0.0567,0.7072,0.2827,0.0218,0.5446,0.2085
18-29,0.0466,0.8286,0.0324,0.8286,-0.0197,0.9343,0.1875,0.0092,0.1700,0.0156,0.4237,0.0092,0.3668,0.3384
30-39,0.0652,0.7072,0.0769,0.7072,0.0377,0.7679,0.0821,0.3593,0.1494,0.0188,0.3364,0.0334,0.4145,0.0010
40-49,0.1016,0.5216,0.0646,0.5698,0.0566,0.7072,-0.0035,0.9575,0.0731,0.5216,0.2816,0.0077,0.4009,0.0000
50-64,0.0399,0.7679,-0.0295,0.7675,-0.0476,0.7072,-0.0414,0.7072,0.0389,0.7072,0.1163,0.3384,0.1884,0.0930
65-74,0.0051,0.9575,-0.0177,0.8286,-0.0613,0.7072,0.0107,0.9376,-0.0360,0.7072,0.0450,0.7675,-0.1089,0.3593
75-84,-0.0085,0.9575,0.0414,0.7072,0.1387,0.3384,0.0292,0.7679,-0.0103,0.9575,0.0869,0.7072,-0.0400,0.7675
85-plus,-0.0233,0.8069,0.1617,0.0551,0.2384,0.0188,0.0986,0.3435,0.0029,0.9575,-0.0087,0.9575,-0.0949,0.3634
