State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
OK,453284,3913,2960989.00,261602.00,952187,46,47,648315,69,73,523317,95,94,461950,159,154,716628,604,627,368050,707,730,192919,819,878,74163,800,763
OR,201649,16052,4083414.00,1035955.00,866562,27,16,666600,50,59,596238,78,98,532578,104,131,787120,479,574,464598,625,750,216944,760,870,84538,955,998
PA,1208585,48157,12614213.00,2375585.00,2634613,106,109,2001847,208,191,1636740,318,310,1494173,422,382,2634952,1803,1703,1354093,2105,2164,707157,2644,2547,332112,3615,3219
PR,138752,5240,2713297.00,789487.00,NaN,27,23,NaN,54,54,NaN,44,64,NaN,102,85,NaN,360,350,NaN,467,454,NaN,638,700,NaN,757,802
RI,151826,3318,1163595.00,238573.00,204484,NaN,NaN,183358,10,14,137063,20,13,122312,25,17,220667,139,131,106159,183,155,53375,218,179,27512,354,293
SC,592414,12959,3780756.00,507353.00,1110891,56,63,791400,124,123,640964,147,141,615851,234,237,1011097,897,814,570600,1030,1000,275013,1050,1091,91410,1066,963
SD,124209,1521,776228.00,65471.00,217101,11,11,138420,14,13,112891,24,26,95255,32,32,165658,105,116,89216,133,117,41670,144,145,20985,208,208
TN,861439,16016,4858223.00,803048.00,1510050,86,85,1097639,195,181,882026,250,281,847903,353,371,1327566,1285,1290,681396,1380,1478,340228,1558,1585,121769,1441,1410
TX,2944003,57290,23042424.00,3952169.00,7399719,344,287,4914742,493,533,4138794,631,672,3719487,988,967,4974261,3586,3477,2245028,3818,3944,1080742,4523,4159,408459,4790,4141
UT,406282,8549,2589348.00,421704.00,931184,32,36,611382,46,56,449773,60,68,388390,93,91,454519,252,299,219466,326,322,107832,435,391,38574,455,466
VA,675783,14469,8379306.00,1628087.00,1860793,66,78,1342662,118,122,1132257,171,172,1061185,227,250,1664441,1019,1041,802291,1182,1231,402130,1488,1443,154485,1712,1545
VT,22659,1103,777292.00,206469.00,114005,0,NaN,103668,NaN,NaN,73235,10,NaN,71440,NaN,NaN,136030,66,68,75206,109,90,35396,110,106,14437,163,140
WA,436984,32453,7654073.00,1746551.00,1663059,53,47,1219606,92,122,1114022,125,161,941020,205,234,1415269,772,929,735524,940,1182,339621,1133,1303,134578,1385,1583
WI,674480,13271,5485994.00,785255.00,1266596,56,43,924730,91,69,733793,114,130,681982,136,146,1195088,723,685,594748,867,832,294186,1020,1086,128309,1480,1372
WV,161858,8360,1317423.00,134853.00,359567,14,NaN,265435,26,NaN,208129,68,NaN,221282,123,29,369752,343,51,217323,408,69,109552,434,72,40136,440,78
WY,60364,2173,395636.00,37414.00,133734,NaN,NaN,88604,NaN,10,77322,13,15,66723,21,23,110103,59,77,60590,94,87,27598,92,102,10991,113,127
