State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
OK,442611,9173,1975056.00,856007.00,952187,42,50,648315,61,65,523317,109,103,461950,133,167,716628,619,632,368050,729,745,192919,825,796,74163,920,785
OR,165524,9737,1893672.00,869617.00,866562,26,18,666600,41,62,596238,71,76,532578,92,129,787120,498,526,464598,710,708,216944,784,839,84538,1049,978
PA,1035371,95871,6201769.00,3366431.00,2634613,96,104,2001847,204,193,1636740,289,311,1494173,428,426,2634952,2057,1877,1354093,2835,2436,707157,3802,2880,332112,5719,3637
PR,109569,8393,1114680.00,560016.00,NaN,19,11,NaN,29,40,NaN,48,72,NaN,82,145,NaN,320,411,NaN,479,492,NaN,652,720,NaN,787,789
RI,138137,11537,566515.00,297003.00,204484,NaN,NaN,183358,11,17,137063,17,24,122312,29,29,220667,164,150,106159,209,160,53375,279,196,27512,475,273
SC,554660,30098,2191473.00,1074662.00,1110891,49,69,791400,109,120,640964,119,181,615851,214,259,1011097,789,930,570600,996,1012,275013,1187,1115,91410,1108,995
SD,117989,5519,505081.00,223006.00,217101,10,14,138420,NaN,21,112891,22,32,95255,24,33,165658,94,94,89216,120,138,41670,165,140,20985,255,207
TN,813526,35375,2725411.00,1330752.00,1510050,74,92,1097639,143,190,882026,207,258,847903,297,383,1327566,1255,1401,681396,1408,1603,340228,1588,1702,121769,1545,1424
TX,2786642,138797,11950969.00,6378473.00,7399719,288,326,4914742,438,503,4138794,533,625,3719487,852,997,4974261,3468,3725,2245028,3877,4157,1080742,4391,4312,408459,4725,4460
UT,386128,14636,1380946.00,692440.00,931184,34,39,611382,43,41,449773,57,71,388390,70,96,454519,260,265,219466,269,335,107832,431,401,38574,508,450
VA,622339,43780,4140842.00,2003916.00,1860793,59,84,1342662,125,139,1132257,164,193,1061185,258,280,1664441,1135,1114,802291,1372,1329,402130,1730,1517,154485,2063,1722
VT,18226,4086,333676.00,165626.00,114005,NaN,NaN,103668,NaN,NaN,73235,19,10,71440,21,15,136030,76,63,75206,104,84,35396,119,129,14437,186,169
WA,365630,25042,3659886.00,1859856.00,1663059,44,39,1219606,112,109,1114022,129,137,941020,195,188,1415269,842,902,735524,1080,1084,339621,1273,1209,134578,1698,1530
WI,636908,19208,2969294.00,1468371.00,1266596,36,57,924730,73,66,733793,102,121,681982,147,135,1195088,736,701,594748,870,825,294186,1210,1093,128309,1707,1411
WV,142233,10185,896388.00,362335.00,359567,20,20,265435,34,40,208129,74,80,221282,101,111,369752,341,416,217323,427,511,109552,547,470,40136,470,441
WY,56389,1918,270226.00,113485.00,133734,NaN,NaN,88604,NaN,10,77322,16,NaN,66723,19,20,110103,60,71,60590,66,89,27598,104,75,10991,134,106
