State,Cases Cum,Cases Change,Vax Cum,Vax Change,Y19 pop: ages 0-17,Y20: ages 0-17,Y21: ages 0-17,Y19 pop: ages 18-29,Y20: ages 18-29,Y21: ages 18-29,Y19 pop: ages 30-39,Y20: ages 30-39,Y21: ages 30-39,Y19 pop: ages 40-49,Y20: ages 40-49,Y21: ages 40-49,Y19 pop: ages 50-64,Y20: ages 50-64,Y21: ages 50-64,Y19 pop: ages 65-74,Y20: ages 65-74,Y21: ages 65-74,Y19 pop: ages 75-84,Y20: ages 75-84,Y21: ages 75-84,Y19 pop: ages 85-plus,Y20: ages 85-plus,Y21: ages 85-plus
PA,1217710,9125,13914074.00,1299861.00,2634613,0,0,2001847,NaN,NaN,1636740,NaN,0,1494173,11,NaN,2634952,55,44,1354093,78,40,707157,147,34,332112,204,37
PR,140249,1497,3696501.00,983204.00,NaN,0,0,NaN,0,0,NaN,0,NaN,NaN,NaN,NaN,NaN,26,NaN,NaN,21,NaN,NaN,21,NaN,NaN,18,NaN
RI,152516,690,1278902.00,115307.00,204484,0,0,183358,NaN,0,137063,0,0,122312,NaN,0,220667,NaN,NaN,106159,11,0,53375,NaN,NaN,27512,14,NaN
SC,597689,5275,4198578.00,417822.00,1110891,0,0,791400,NaN,0,640964,12,NaN,615851,26,11,1011097,160,26,570600,236,38,275013,309,30,91410,287,21
SD,124561,352,820728.00,44500.00,217101,0,0,138420,0,NaN,112891,NaN,NaN,95255,0,NaN,165658,10,NaN,89216,11,NaN,41670,NaN,NaN,20985,17,NaN
TN,867126,5687,5283873.00,425650.00,1510050,0,NaN,1097639,NaN,10,882026,NaN,NaN,847903,33,22,1327566,120,59,681396,138,54,340228,160,54,121769,124,40
TX,2990703,46700,25756467.00,2714043.00,7399719,13,NaN,4914742,64,25,4138794,141,53,3719487,375,134,4974261,1524,328,2245028,1725,284,1080742,1684,249,408459,1442,171
UT,415679,9397,2856977.00,267629.00,931184,0,0,611382,NaN,NaN,449773,NaN,NaN,388390,NaN,NaN,454519,25,35,219466,24,24,107832,50,19,38574,34,13
VA,680744,4961,9249165.00,869859.00,1860793,0,NaN,1342662,NaN,NaN,1132257,NaN,NaN,1061185,17,NaN,1664441,65,25,802291,76,31,402130,88,31,154485,118,17
VT,22831,172,852491.00,75199.00,114005,0,0,103668,0,0,73235,0,0,71440,NaN,0,136030,0,0,75206,0,NaN,35396,0,0,14437,NaN,0
WA,452072,15088,8589053.00,934980.00,1663059,0,0,1219606,NaN,NaN,1114022,NaN,NaN,941020,NaN,NaN,1415269,43,34,735524,54,39,339621,78,44,134578,99,33
WI,677740,3260,5918279.00,432285.00,1266596,0,0,924730,NaN,0,733793,NaN,NaN,681982,NaN,NaN,1195088,24,NaN,594748,35,18,294186,48,14,128309,46,18
WV,164097,2239,1420441.00,103018.00,359567,0,0,265435,0,0,208129,NaN,NaN,221282,NaN,0,369752,NaN,NaN,217323,NaN,NaN,109552,11,15,40136,13,NaN
WY,62353,1989,423238.00,27602.00,133734,0,0,88604,0,0,77322,0,0,66723,NaN,NaN,110103,NaN,NaN,60590,NaN,14,27598,NaN,NaN,10991,NaN,13
