Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,1.2662,0.3030,0.7842,0.2636,0.0514,0.9225,0.1760,0.4940,0.1655,0.3297,0.2935,0.2808,1.0302,0.2293
18-29,-0.1124,0.7316,0.1752,0.6667,-0.0066,0.9904,0.3254,0.2582,0.1546,0.1939,0.1843,0.3882,0.3244,0.3965
30-39,0.2259,0.0634,0.1517,0.6313,0.4688,0.2630,0.2268,0.2722,0.3010,0.0252,0.5052,0.0025,0.4943,0.0972
40-49,0.0061,0.9248,0.0889,0.4316,0.3106,0.1430,-0.0234,0.8629,0.0230,0.7792,0.1015,0.1845,0.2290,0.1574
50-64,0.0092,0.8840,-0.0685,0.2530,0.0996,0.3595,-0.0221,0.8121,0.0071,0.9207,0.0076,0.8672,0.0637,0.7429
65-74,0.0008,0.9898,-0.0548,0.3069,0.1082,0.3359,0.0716,0.4715,-0.0613,0.3595,0.0515,0.3095,0.1671,0.1778
75-84,-0.0290,0.6006,0.0230,0.6944,0.2548,0.0246,0.1235,0.2378,-0.0295,0.6983,0.0939,0.0987,0.1825,0.1422
85-plus,0.0929,0.0792,0.1473,0.0588,0.8202,0.0000,0.3000,0.0095,-0.0082,0.9126,0.0874,0.1808,0.2354,0.0931
