Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,0.2006,0.0804,-0.0391,0.7880,-0.0636,0.7097,0.0818,0.3919,0.1549,0.0781,0.2507,0.0006,0.8481,0.0002
18-29,0.0538,0.6700,0.0190,0.8675,0.0772,0.5718,0.3472,0.0022,0.1072,0.0868,0.2119,0.0235,0.4841,0.0245
30-39,0.1049,0.2360,0.1076,0.3307,0.1226,0.3057,0.2210,0.0246,0.0625,0.2361,0.1810,0.0338,0.3451,0.0659
40-49,0.0415,0.5992,0.1035,0.1467,0.3126,0.0066,0.0407,0.6619,-0.0082,0.8911,0.1371,0.0125,0.2565,0.0467
50-64,0.0088,0.8772,-0.0532,0.3089,0.0703,0.4449,-0.0257,0.7569,-0.0073,0.8857,0.0020,0.9619,0.0567,0.7524
65-74,-0.0273,0.6456,-0.0124,0.7956,0.0927,0.3610,0.0556,0.5136,-0.0616,0.2174,0.0379,0.4281,0.1393,0.3689
75-84,0.0012,0.9792,0.0300,0.5138,0.4346,0.0007,0.0941,0.3130,-0.0397,0.4667,0.0812,0.3745,0.1049,0.4944
85-plus,0.0771,0.0421,0.1821,0.0011,0.6938,0.0000,0.2503,0.0139,-0.0228,0.6827,0.0577,0.5826,0.0878,0.5876
