Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,0.1982,NaN,NaN,NaN,0.1579,NaN,-0.3454,NaN,11.1757,NaN
30-39,NaN,NaN,-0.7384,NaN,0.2073,1.1951,0.3793,0.9691,-0.2417,NaN,-0.1553,1.4309,-1.0361,0.8756
40-49,NaN,NaN,0.3275,0.8756,0.3256,0.8430,0.2249,1.0837,-0.0919,1.5178,-0.5458,0.0933,-0.2781,0.6415
50-64,NaN,NaN,0.0420,1.5178,0.3943,0.3328,0.4032,0.2195,-0.0410,1.5178,-0.3614,0.0933,-0.0196,1.5178
65-74,NaN,NaN,-0.1355,1.2164,0.3767,0.3328,0.1194,1.1367,-0.2672,0.5148,-0.2055,0.3328,-0.0335,1.5178
75-84,NaN,NaN,0.1832,0.8756,0.2402,0.6415,0.3509,0.4688,-0.1426,1.1382,-0.2683,0.0933,0.0130,1.5178
85-plus,NaN,NaN,0.4433,0.3736,0.1889,0.8430,0.2765,0.3328,0.0045,1.6160,-0.1003,0.8430,0.3234,0.0933
