Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18-29,NaN,NaN,NaN,NaN,0.1982,NaN,NaN,NaN,0.1579,NaN,-0.3454,NaN,11.1757,NaN
30-39,NaN,NaN,-0.7384,NaN,0.2073,0.5335,0.3793,0.3634,-0.2417,NaN,-0.1553,0.6899,-1.0361,0.2934
40-49,NaN,NaN,0.3275,0.3026,0.3256,0.2559,0.2249,0.4257,-0.0919,0.8115,-0.5458,0.0067,-0.2781,0.1490
50-64,NaN,NaN,0.0420,0.8944,0.3943,0.0430,0.4032,0.0196,-0.0410,0.8450,-0.3614,0.0024,-0.0196,0.8536
65-74,NaN,NaN,-0.1355,0.5647,0.3767,0.0506,0.1194,0.4669,-0.2672,0.1103,-0.2055,0.0360,-0.0335,0.7662
75-84,NaN,NaN,0.1832,0.3127,0.2402,0.1604,0.3509,0.0921,-0.1426,0.4878,-0.2683,0.0060,0.0130,0.8851
85-plus,NaN,NaN,0.4433,0.0667,0.1889,0.2439,0.2765,0.0535,0.0045,0.9811,-0.1003,0.2425,0.3234,0.0045
