Ages,Feb (es),Feb (pval),March (es),March (pval),April (es),April (pval),May (es),May (pval),June (es),June (pval),July (es),July (pval),Aug (es),Aug (pval)
0-17,1.2662,0.5977,0.7842,0.5977,0.0514,0.9590,0.1760,0.7280,0.1655,0.6068,0.2935,0.5977,1.0302,0.5977
18-29,-0.1124,0.9246,0.1752,0.9094,-0.0066,0.9904,0.3254,0.5977,0.1546,0.5977,0.1843,0.6345,0.3244,0.6345
30-39,0.2259,0.5023,0.1517,0.8838,0.4688,0.5977,0.2268,0.5977,0.3010,0.2822,0.5052,0.0686,0.4943,0.5023
40-49,0.0061,0.9590,0.0889,0.6714,0.3106,0.5977,-0.0234,0.9590,0.0230,0.9486,0.1015,0.5977,0.2290,0.5977
50-64,0.0092,0.9590,-0.0685,0.5977,0.0996,0.6101,-0.0221,0.9590,0.0071,0.9590,0.0076,0.9590,0.0637,0.9246
65-74,0.0008,0.9904,-0.0548,0.5977,0.1082,0.6068,0.0716,0.7137,-0.0613,0.6101,0.0515,0.5977,0.1671,0.5977
75-84,-0.0290,0.8624,0.0230,0.9094,0.2548,0.2822,0.1235,0.5977,-0.0295,0.9094,0.0939,0.5023,0.1825,0.5977
85-plus,0.0929,0.5023,0.1473,0.5023,0.8202,0.0000,0.3000,0.1777,-0.0082,0.9590,0.0874,0.5977,0.2354,0.5023
